srcStateName,srcYear,Region-wise installation of electricity,"Energy Value Type ( Potential, Capacity, Generation )",Types of Energy Sources,Nature of Energy Sources,Values for renewable electricity,"Types of Usage (Utility ,Captive)",Type of Energy Sector,YearCode,Year
MADHYA PRADESH,2016,,Generation,WIND,RENEWABLE,1591.217,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2020,,Generation,HYDRO,NON-RENEWABLE,14014.27,UTILITY,STATE,2020,"Financial Year (Apr - Mar), 2020"
MIZORAM,2020,,Generation,SOLAR,RENEWABLE,0.443,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
TAMILNADU,2015,,Generation,HYDRO,NON-RENEWABLE,0.31,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
GOA,2013,,Generation,NATURAL GAS,NON-RENEWABLE,245.41,UTILITY,PRIVATE,2013,"Financial Year (Apr - Mar), 2013"
DADRA & NAGAR HAVELI,2018,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
JHARKHAND,2020,ER,Potential,SMALL HYDRO,RENEWABLE,228,,,2020,"Financial Year (Apr - Mar), 2020"
WEST BENGAL,2019,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
ASSAM,2017,NER,Potential,WASTE,RENEWABLE,8,,,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2018,,Generation,NATURAL GAS,NON-RENEWABLE,10060.033,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
JHARKHAND,2013,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
ASSAM,2019,NER,Capacity,SMALL HYDRO,,34.11,,,2019,"Financial Year (Apr - Mar), 2019"
GUJARAT,2017,,Generation,NATURAL GAS,NON-RENEWABLE,4077,UTILITY,CENTRAL,2017,"Financial Year (Apr - Mar), 2017"
KERALA,2014,,Generation,WIND,RENEWABLE,43.47,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
KERALA,2017,SR,Potential,WASTE,RENEWABLE,36,,,2017,"Financial Year (Apr - Mar), 2017"
MEGHALAYA,2011,NER,Capacity,SMALL HYDRO,,31.03,,,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2016,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
DADRA & NAGAR HAVELI,2013,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2015,,Generation,WASTE,RENEWABLE,8.517,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
ANDHRA PRADESH,2018,SR,Capacity,SMALL HYDRO,,162.11,,,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2013,NER,Capacity,SOLAR,,0.025,,,2013,"Financial Year (Apr - Mar), 2013"
BIHAR,2017,ER,Capacity,COGENERATION-BAGASSE,,113,,,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2012,,Generation,SOLAR,RENEWABLE,0.72,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
KERALA,2020,SR,Capacity,SOLAR,,142.23,,,2020,"Financial Year (Apr - Mar), 2020"
TRIPURA,2017,NER,Potential,SMALL HYDRO,RENEWABLE,47,,,2017,"Financial Year (Apr - Mar), 2017"
HIMACHAL PRADESH,2019,NR,Capacity,SMALL HYDRO,,860.61,,,2019,"Financial Year (Apr - Mar), 2019"
KERALA,2020,,Generation,HYDRO,NON-RENEWABLE,118.25,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
KERALA,2017,,Generation,SMALL HYDRO,RENEWABLE,462.385,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
MEGHALAYA,2017,,Generation,COAL,NON-RENEWABLE,271.921,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
ODISHA,2019,,Generation,SOLAR,RENEWABLE,263.03,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
LADAKH,2020,NR,Potential,BIOMASS,RENEWABLE,0,,,2020,"Financial Year (Apr - Mar), 2020"
BIHAR,2014,,Generation,DIESEL,NON-RENEWABLE,1.47,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
DIU & DAMAN,2012,,Generation,WASTE,RENEWABLE,0,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
ARUNACHAL PRADESH,2015,NER,Potential,BIOMASS,RENEWABLE,8,,,2015,"Financial Year (Apr - Mar), 2015"
UTTAR PRADESH,2018,,Generation,NATURAL GAS,NON-RENEWABLE,1722.588,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
JAMMU & KASHMIR,2013,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
PUNJAB,2011,NR,Capacity,SMALL HYDRO,,154.5,,,2011,"Financial Year (Apr - Mar), 2011"
UTTARAKHAND,2015,NR,Potential,BIOMASS,RENEWABLE,24,,,2015,"Financial Year (Apr - Mar), 2015"
MAHARASHTRA,2016,,Generation,HYDRO,NON-RENEWABLE,3519.33,UTILITY,STATE,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2018,NR,Potential,BIOMASS,RENEWABLE,142,,,2018,"Financial Year (Apr - Mar), 2018"
KERALA,2011,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2019,,Generation,HYDRO,NON-RENEWABLE,7320.21,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
A & N ISLANDS,2013,,Generation,SMALL HYDRO,RENEWABLE,12.46,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2015,SR,Potential,BIOMASS,RENEWABLE,1044,,,2015,"Financial Year (Apr - Mar), 2015"
RAJASTHAN,2020,NR,Potential,SMALL HYDRO,RENEWABLE,52,,,2020,"Financial Year (Apr - Mar), 2020"
UTTAR PRADESH,2013,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
UTTARAKHAND,2011,,Generation,HYDRO,NON-RENEWABLE,4750.91,UTILITY,STATE,2011,"Financial Year (Apr - Mar), 2011"
GUJARAT,2016,WR,Potential,WIND,RENEWABLE,84430.51,,,2016,"Financial Year (Apr - Mar), 2016"
JAMMU & KASHMIR,2016,,Generation,SMALL HYDRO,RENEWABLE,304.79,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2012,NR,Capacity,WIND,,2070.65,,,2012,"Financial Year (Apr - Mar), 2012"
KARNATAKA,2016,,Generation,COAL,NON-RENEWABLE,0,UTILITY,CENTRAL,2016,"Financial Year (Apr - Mar), 2016"
GOA,2019,WR,Capacity,SMALL HYDRO,,0.05,,,2019,"Financial Year (Apr - Mar), 2019"
TELANGANA,2013,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
MEGHALAYA,2019,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
ODISHA,2019,ER,Potential,WASTE,RENEWABLE,22,,,2019,"Financial Year (Apr - Mar), 2019"
UTTAR PRADESH,2011,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
PUDUCHERRY,2011,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
MANIPUR,2019,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
PUNJAB,2018,,Generation,COAL,NON-RENEWABLE,19207.86,UTILITY,PRIVATE,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2020,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
SIKKIM,2015,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
PUNJAB,2013,,Generation,DIESEL,NON-RENEWABLE,189.59,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
KERALA,2020,,Generation,COAL,NON-RENEWABLE,495.469,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
BIHAR,2014,,Generation,COAL,NON-RENEWABLE,0,UTILITY,STATE,2014,"Financial Year (Apr - Mar), 2014"
ASSAM,2019,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
TAMILNADU,2011,,Generation,NATURAL GAS,NON-RENEWABLE,3684.61,UTILITY,PRIVATE,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2015,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
ASSAM,2019,,Generation,COAL,NON-RENEWABLE,2824.21,UTILITY,CENTRAL,2019,"Financial Year (Apr - Mar), 2019"
MIZORAM,2014,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
CHANDIGARH,2019,NR,Potential,WASTE,RENEWABLE,6,,,2019,"Financial Year (Apr - Mar), 2019"
A & N ISLANDS,2016,ER,Potential,WIND,RENEWABLE,8.43,,,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2018,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2018,,Generation,NATURAL GAS,NON-RENEWABLE,1353.66,UTILITY,PRIVATE,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2013,,Generation,COAL,NON-RENEWABLE,20960.28,UTILITY,STATE,2013,"Financial Year (Apr - Mar), 2013"
KARNATAKA,2018,,Generation,DIESEL,NON-RENEWABLE,215.394,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
DIU & DAMAN,2019,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
LAKSHADWEEP,2017,,Generation,SOLAR,RENEWABLE,1.59,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
DELHI,2018,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2011,,Generation,NATURAL GAS,NON-RENEWABLE,5587.39,UTILITY,STATE,2011,"Financial Year (Apr - Mar), 2011"
PUDUCHERRY,2020,SR,Capacity,SOLAR,,5.51,,,2020,"Financial Year (Apr - Mar), 2020"
DIU & DAMAN,2013,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
RAJASTHAN,2016,NR,Capacity,COGENERATION-BAGASSE,,114.35,,,2016,"Financial Year (Apr - Mar), 2016"
PUDUCHERRY,2018,,Generation,DIESEL,NON-RENEWABLE,11.561,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2019,,Generation,HYDRO,NON-RENEWABLE,1399.02,UTILITY,CENTRAL,2019,"Financial Year (Apr - Mar), 2019"
HARYANA,2012,NR,Capacity,COGENERATION-BAGASSE,,35.8,,,2012,"Financial Year (Apr - Mar), 2012"
TELANGANA,2016,,Generation,DIESEL,NON-RENEWABLE,104.04,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
ODISHA,2013,,Generation,COAL,NON-RENEWABLE,3181.58,UTILITY,STATE,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2012,SR,Capacity,COGENERATION-BAGASSE,,363.25,,,2012,"Financial Year (Apr - Mar), 2012"
UTTARAKHAND,2017,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
ASSAM,2017,NER,Potential,SMALL HYDRO,RENEWABLE,239,,,2017,"Financial Year (Apr - Mar), 2017"
TRIPURA,2019,NER,Potential,WASTE,RENEWABLE,2,,,2019,"Financial Year (Apr - Mar), 2019"
TAMILNADU,2015,SR,Capacity,WIND,,7459.39,,,2015,"Financial Year (Apr - Mar), 2015"
SIKKIM,2017,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
CHHATTISGARH,2013,WR,Capacity,COGENERATION-BAGASSE,,249.9,,,2013,"Financial Year (Apr - Mar), 2013"
KARNATAKA,2017,,Generation,BIOMASS-BAGASSE,RENEWABLE,1708.106,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
WEST BENGAL,2011,,Generation,COAL,NON-RENEWABLE,2388.52,CAPTIVE,CAPTIVE,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2019,WR,Capacity,WIND,,4794.13,,,2019,"Financial Year (Apr - Mar), 2019"
KERALA,2019,,Generation,WIND,RENEWABLE,107.936,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
MANIPUR,2020,NER,Capacity,SMALL HYDRO,,5.45,,,2020,"Financial Year (Apr - Mar), 2020"
HIMACHAL PRADESH,2015,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
KERALA,2014,,Generation,HYDRO,NON-RENEWABLE,39.58,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
KERALA,2013,,Generation,NATURAL GAS,NON-RENEWABLE,135.98,UTILITY,PRIVATE,2013,"Financial Year (Apr - Mar), 2013"
UTTAR PRADESH,2018,NR,Potential,SMALL HYDRO,RENEWABLE,461,,,2018,"Financial Year (Apr - Mar), 2018"
TELANGANA,2018,SR,Capacity,SMALL HYDRO,,90.87,,,2018,"Financial Year (Apr - Mar), 2018"
MIZORAM,2019,NER,Capacity,SMALL HYDRO,,36.47,,,2019,"Financial Year (Apr - Mar), 2019"
MANIPUR,2016,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2020,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
JHARKHAND,2016,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
SIKKIM,2017,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
TAMILNADU,2020,,Generation,WIND,RENEWABLE,14126.93,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
RAJASTHAN,2019,,Generation,WIND,RENEWABLE,6403.776,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
CHANDIGARH,2019,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
MIZORAM,2020,,Generation,SOLAR,RENEWABLE,0,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
UTTARAKHAND,2014,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
CHHATTISGARH,2012,WR,Capacity,COGENERATION-BAGASSE,,249.9,,,2012,"Financial Year (Apr - Mar), 2012"
ANDHRA PRADESH,2016,,Generation,WIND,RENEWABLE,2013.041,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2011,,Generation,HYDRO,NON-RENEWABLE,256.04,UTILITY,CENTRAL,2011,"Financial Year (Apr - Mar), 2011"
MAHARASHTRA,2020,WR,Potential,WASTE,RENEWABLE,287,,,2020,"Financial Year (Apr - Mar), 2020"
JHARKHAND,2017,ER,Potential,SOLAR,RENEWABLE,18180,,,2017,"Financial Year (Apr - Mar), 2017"
KERALA,2013,,Generation,SMALL HYDRO,RENEWABLE,387.839,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
JHARKHAND,2020,,Generation,COAL,NON-RENEWABLE,2420.62,UTILITY,STATE,2020,"Financial Year (Apr - Mar), 2020"
WEST BENGAL,2014,,Generation,COAL,NON-RENEWABLE,32692.68,UTILITY,CENTRAL,2014,"Financial Year (Apr - Mar), 2014"
NAGALAND,2020,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2020,"Financial Year (Apr - Mar), 2020"
JAMMU & KASHMIR,2017,NR,Potential,SOLAR,RENEWABLE,111050,,,2017,"Financial Year (Apr - Mar), 2017"
MEGHALAYA,2016,,Generation,SMALL HYDRO,RENEWABLE,65.96,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
KERALA,2019,SR,Capacity,SOLAR,,138.59,,,2019,"Financial Year (Apr - Mar), 2019"
UTTARAKHAND,2017,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2012,,Generation,SOLAR,RENEWABLE,8.766,UTILITY,UTILITY-RE,2012,"Financial Year (Apr - Mar), 2012"
MANIPUR,2015,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2015,"Financial Year (Apr - Mar), 2015"
ASSAM,2019,NER,Potential,WASTE,RENEWABLE,8,,,2019,"Financial Year (Apr - Mar), 2019"
JAMMU & KASHMIR,2013,NR,Capacity,SMALL HYDRO,,130.53,,,2013,"Financial Year (Apr - Mar), 2013"
WEST BENGAL,2017,,Generation,NATURAL GAS,NON-RENEWABLE,1198.321,CAPTIVE,CAPTIVE,2017,"Financial Year (Apr - Mar), 2017"
HARYANA,2016,NR,Capacity,SOLAR,,15.387,,,2016,"Financial Year (Apr - Mar), 2016"
MAHARASHTRA,2014,,Generation,WASTE,RENEWABLE,0.304,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
CHHATTISGARH,2016,,Generation,SOLAR,RENEWABLE,52.697,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
SIKKIM,2015,ER,Capacity,SMALL HYDRO,,52.11,,,2015,"Financial Year (Apr - Mar), 2015"
HARYANA,2018,,Generation,WIND,RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
HARYANA,2018,NR,Potential,SOLAR,RENEWABLE,4560,,,2018,"Financial Year (Apr - Mar), 2018"
DELHI,2014,,Generation,NATURAL GAS,NON-RENEWABLE,0.22,UTILITY,PRIVATE,2014,"Financial Year (Apr - Mar), 2014"
RAJASTHAN,2013,,Generation,COAL,NON-RENEWABLE,1280.5,UTILITY,CENTRAL,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2013,,Generation,DIESEL,NON-RENEWABLE,440.1,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
MANIPUR,2019,NER,Potential,SMALL HYDRO,RENEWABLE,109,,,2019,"Financial Year (Apr - Mar), 2019"
CHHATTISGARH,2017,WR,Capacity,SOLAR,,128.86,,,2017,"Financial Year (Apr - Mar), 2017"
HARYANA,2015,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
LAKSHADWEEP,2016,,Generation,SMALL HYDRO,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2011,,Generation,COAL,NON-RENEWABLE,15567.88,UTILITY,STATE,2011,"Financial Year (Apr - Mar), 2011"
TAMILNADU,2014,SR,Capacity,WASTE,,8.05,,,2014,"Financial Year (Apr - Mar), 2014"
MADHYA PRADESH,2020,WR,Potential,SOLAR,RENEWABLE,61660,,,2020,"Financial Year (Apr - Mar), 2020"
RAJASTHAN,2014,,Generation,NATURAL GAS,NON-RENEWABLE,231.35,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
ODISHA,2015,,Generation,COAL,NON-RENEWABLE,28179.8,CAPTIVE,CAPTIVE,2015,"Financial Year (Apr - Mar), 2015"
RAJASTHAN,2016,,Generation,COAL,NON-RENEWABLE,15900.64,UTILITY,PRIVATE,2016,"Financial Year (Apr - Mar), 2016"
GOA,2016,,Generation,COAL,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2016,"Financial Year (Apr - Mar), 2016"
MANIPUR,2018,,Generation,RENEWABLES,RENEWABLE,0,UTILITY,UTILITY-RE,2018,"Financial Year (Apr - Mar), 2018"
HIMACHAL PRADESH,2017,,Generation,SMALL HYDRO,RENEWABLE,2015.58,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
A & N ISLANDS,2018,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
KERALA,2012,,Generation,NATURAL GAS,NON-RENEWABLE,48.74,UTILITY,PRIVATE,2012,"Financial Year (Apr - Mar), 2012"
CHHATTISGARH,2020,WR,Potential,SMALL HYDRO,RENEWABLE,1098,,,2020,"Financial Year (Apr - Mar), 2020"
DELHI,2014,,Generation,BIOMASS-BAGASSE,RENEWABLE,0,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
UTTARAKHAND,2011,NR,Capacity,SOLAR,,0.05,,,2011,"Financial Year (Apr - Mar), 2011"
RAJASTHAN,2014,,Generation,NATURAL GAS,NON-RENEWABLE,1965.34,UTILITY,CENTRAL,2014,"Financial Year (Apr - Mar), 2014"
RAJASTHAN,2020,,Generation,SOLAR,RENEWABLE,273.046,CAPTIVE,CAPTIVE,2020,"Financial Year (Apr - Mar), 2020"
NAGALAND,2017,,Generation,SOLAR,RENEWABLE,0,UTILITY,UTILITY-RE,2017,"Financial Year (Apr - Mar), 2017"
RAJASTHAN,2015,,Generation,COAL,NON-RENEWABLE,25250.66,UTILITY,STATE,2015,"Financial Year (Apr - Mar), 2015"
DELHI,2018,,Generation,DIESEL,NON-RENEWABLE,2.055,CAPTIVE,CAPTIVE,2018,"Financial Year (Apr - Mar), 2018"
UTTARAKHAND,2016,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2016,"Financial Year (Apr - Mar), 2016"
GUJARAT,2019,,Generation,HYDRO,NON-RENEWABLE,1042.81,UTILITY,STATE,2019,"Financial Year (Apr - Mar), 2019"
KERALA,2020,SR,Potential,SMALL HYDRO,RENEWABLE,647,,,2020,"Financial Year (Apr - Mar), 2020"
CHANDIGARH,2013,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2014,,Generation,SOLAR,RENEWABLE,65.043,UTILITY,UTILITY-RE,2014,"Financial Year (Apr - Mar), 2014"
TAMILNADU,2020,SR,Potential,WIND,RENEWABLE,68750,,,2020,"Financial Year (Apr - Mar), 2020"
CHANDIGARH,2014,,Generation,NATURAL GAS,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2014,"Financial Year (Apr - Mar), 2014"
MAHARASHTRA,2015,WR,Potential,SOLAR,RENEWABLE,64320,,,2015,"Financial Year (Apr - Mar), 2015"
DIU & DAMAN,2013,,Generation,DIESEL,NON-RENEWABLE,1.53,CAPTIVE,CAPTIVE,2013,"Financial Year (Apr - Mar), 2013"
TRIPURA,2019,,Generation,HYDRO,NON-RENEWABLE,0,CAPTIVE,CAPTIVE,2019,"Financial Year (Apr - Mar), 2019"
ANDHRA PRADESH,2015,SR,Capacity,COGENERATION-BAGASSE,,378.2,,,2015,"Financial Year (Apr - Mar), 2015"
ANDHRA PRADESH,2016,,Generation,COAL,NON-RENEWABLE,14469.64,UTILITY,CENTRAL,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2020,NR,Capacity,COGENERATION-BAGASSE,,205.66,,,2020,"Financial Year (Apr - Mar), 2020"
PUNJAB,2020,NR,Capacity,SMALL HYDRO,,173.55,,,2020,"Financial Year (Apr - Mar), 2020"
HIMACHAL PRADESH,2019,,Generation,WIND,RENEWABLE,0,UTILITY,UTILITY-RE,2019,"Financial Year (Apr - Mar), 2019"
